,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.5418,0.0001,0.0,1,,,,,,,,,
1,2.5035,0.0002,0.0,2,,,,,,,,,
2,2.4929,0.0001999410551134689,0.0,3,,,,,,,,,
3,2.6423,0.00019988211022693782,0.01,4,,,,,,,,,
4,2.9341,0.00019982316534040672,0.01,5,,,,,,,,,
5,2.68,0.00019976422045387565,0.01,6,,,,,,,,,
6,2.9089,0.00019970527556734455,0.01,7,,,,,,,,,
7,2.8044,0.00019964633068081345,0.01,8,,,,,,,,,
8,2.3583,0.00019958738579428236,0.01,9,,,,,,,,,
9,2.3282,0.00019952844090775126,0.01,10,,,,,,,,,
10,2.1865,0.00019946949602122016,0.02,11,,,,,,,,,
11,5.1921,0.00019941055113468906,0.02,12,,,,,,,,,
12,2.3192,0.000199351606248158,0.02,13,,,,,,,,,
13,2.0366,0.0001992926613616269,0.02,14,,,,,,,,,
14,2.0699,0.0001992337164750958,0.02,15,,,,,,,,,
15,1.9968,0.0001991747715885647,0.02,16,,,,,,,,,
16,1.8852,0.0001991158267020336,0.03,17,,,,,,,,,
17,1.8445,0.0001990568818155025,0.03,18,,,,,,,,,
18,2.0152,0.0001989979369289714,0.03,19,,,,,,,,,
19,2.1824,0.00019893899204244034,0.03,20,,,,,,,,,
20,1.9226,0.00019888004715590924,0.03,21,,,,,,,,,
21,1.8696,0.00019882110226937815,0.03,22,,,,,,,,,
22,1.7489,0.00019876215738284705,0.03,23,,,,,,,,,
23,1.7186,0.00019870321249631595,0.04,24,,,,,,,,,
24,1.6569,0.00019864426760978485,0.04,25,,,,,,,,,
25,1.6966,0.00019858532272325376,0.04,26,,,,,,,,,
26,1.7997,0.0001985263778367227,0.04,27,,,,,,,,,
27,1.6443,0.0001984674329501916,0.04,28,,,,,,,,,
28,1.7648,0.0001984084880636605,0.04,29,,,,,,,,,
29,1.6198,0.0001983495431771294,0.04,30,,,,,,,,,
30,1.6265,0.0001982905982905983,0.05,31,,,,,,,,,
31,1.6237,0.0001982316534040672,0.05,32,,,,,,,,,
32,1.5907,0.0001981727085175361,0.05,33,,,,,,,,,
33,1.5131,0.00019811376363100503,0.05,34,,,,,,,,,
34,1.6079,0.00019805481874447394,0.05,35,,,,,,,,,
35,1.5112,0.00019799587385794284,0.05,36,,,,,,,,,
36,1.5774,0.00019793692897141174,0.05,37,,,,,,,,,
37,1.5874,0.00019787798408488064,0.06,38,,,,,,,,,
38,1.6509,0.00019781903919834955,0.06,39,,,,,,,,,
39,1.5521,0.00019776009431181845,0.06,40,,,,,,,,,
40,1.5735,0.00019770114942528738,0.06,41,,,,,,,,,
41,1.6124,0.00019764220453875628,0.06,42,,,,,,,,,
42,1.4901,0.00019758325965222519,0.06,43,,,,,,,,,
43,1.3767,0.0001975243147656941,0.06,44,,,,,,,,,
44,1.5171,0.000197465369879163,0.07,45,,,,,,,,,
45,1.3345,0.0001974064249926319,0.07,46,,,,,,,,,
46,1.3957,0.0001973474801061008,0.07,47,,,,,,,,,
47,1.3174,0.00019728853521956973,0.07,48,,,,,,,,,
48,1.3685,0.00019722959033303863,0.07,49,,,,,,,,,
49,1.4501,0.0001971706454465075,0.07,50,,,,,,,,,
50,1.3771,0.00019711170055997643,0.08,51,,,,,,,,,
51,1.3321,0.00019705275567344534,0.08,52,,,,,,,,,
52,1.3024,0.00019699381078691424,0.08,53,,,,,,,,,
53,1.2611,0.00019693486590038314,0.08,54,,,,,,,,,
54,1.3333,0.00019687592101385207,0.08,55,,,,,,,,,
55,1.1944,0.00019681697612732098,0.08,56,,,,,,,,,
56,1.3665,0.00019675803124078985,0.08,57,,,,,,,,,
57,1.2413,0.00019669908635425878,0.09,58,,,,,,,,,
58,1.3815,0.00019664014146772768,0.09,59,,,,,,,,,
59,1.2423,0.00019658119658119659,0.09,60,,,,,,,,,
60,1.3066,0.0001965222516946655,0.09,61,,,,,,,,,
61,1.2032,0.00019646330680813442,0.09,62,,,,,,,,,
62,1.1304,0.00019640436192160332,0.09,63,,,,,,,,,
63,1.1247,0.0001963454170350722,0.09,64,,,,,,,,,
64,1.2343,0.00019628647214854113,0.1,65,,,,,,,,,
65,1.2434,0.00019622752726201003,0.1,66,,,,,,,,,
66,1.039,0.00019616858237547893,0.1,67,,,,,,,,,
67,1.1235,0.00019610963748894784,0.1,68,,,,,,,,,
68,1.1043,0.00019605069260241677,0.1,69,,,,,,,,,
69,1.1807,0.00019599174771588567,0.1,70,,,,,,,,,
70,1.0958,0.00019593280282935454,0.1,71,,,,,,,,,
71,1.0848,0.00019587385794282347,0.11,72,,,,,,,,,
72,1.1361,0.00019581491305629238,0.11,73,,,,,,,,,
73,1.1339,0.00019575596816976128,0.11,74,,,,,,,,,
74,1.035,0.00019569702328323018,0.11,75,,,,,,,,,
75,1.0724,0.00019563807839669908,0.11,76,,,,,,,,,
76,1.0787,0.00019557913351016801,0.11,77,,,,,,,,,
77,1.0523,0.0001955201886236369,0.11,78,,,,,,,,,
78,1.0041,0.00019546124373710582,0.12,79,,,,,,,,,
79,0.9315,0.00019540229885057472,0.12,80,,,,,,,,,
80,0.9392,0.00019534335396404363,0.12,81,,,,,,,,,
81,1.0717,0.00019528440907751253,0.12,82,,,,,,,,,
82,1.0701,0.00019522546419098143,0.12,83,,,,,,,,,
83,0.8792,0.00019516651930445036,0.12,84,,,,,,,,,
84,0.8838,0.00019510757441791924,0.13,85,,,,,,,,,
85,1.0581,0.00019504862953138817,0.13,86,,,,,,,,,
86,0.9268,0.00019498968464485707,0.13,87,,,,,,,,,
87,1.0841,0.00019493073975832597,0.13,88,,,,,,,,,
88,0.8022,0.00019487179487179487,0.13,89,,,,,,,,,
89,0.7654,0.00019481284998526378,0.13,90,,,,,,,,,
90,0.9108,0.0001947539050987327,0.13,91,,,,,,,,,
91,0.9476,0.00019469496021220158,0.14,92,,,,,,,,,
92,0.9803,0.0001946360153256705,0.14,93,,,,,,,,,
93,0.8999,0.00019457707043913942,0.14,94,,,,,,,,,
94,0.7986,0.00019451812555260832,0.14,95,,,,,,,,,
