,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.5402,1e-05,0.0,1,,,,,,,,,
1,2.5458,2e-05,0.01,2,,,,,,,,,
2,2.0525,1.9988186650915534e-05,0.01,3,,,,,,,,,
3,1.7248,1.997637330183107e-05,0.01,4,,,,,,,,,
4,1.6063,1.9964559952746606e-05,0.01,5,,,,,,,,,
5,1.5821,1.9952746603662142e-05,0.02,6,,,,,,,,,
6,1.6236,1.9940933254577674e-05,0.02,7,,,,,,,,,
7,1.5246,1.9929119905493207e-05,0.02,8,,,,,,,,,
8,1.4904,1.9917306556408743e-05,0.03,9,,,,,,,,,
9,1.5874,1.990549320732428e-05,0.03,10,,,,,,,,,
10,1.4574,1.989367985823981e-05,0.03,11,,,,,,,,,
11,1.578,1.9881866509155347e-05,0.04,12,,,,,,,,,
12,1.4463,1.987005316007088e-05,0.04,13,,,,,,,,,
13,1.4292,1.9858239810986416e-05,0.04,14,,,,,,,,,
14,1.468,1.984642646190195e-05,0.04,15,,,,,,,,,
15,1.4887,1.9834613112817484e-05,0.05,16,,,,,,,,,
16,1.4698,1.982279976373302e-05,0.05,17,,,,,,,,,
17,1.5356,1.9810986414648553e-05,0.05,18,,,,,,,,,
18,1.4021,1.979917306556409e-05,0.06,19,,,,,,,,,
19,1.3769,1.9787359716479624e-05,0.06,20,,,,,,,,,
20,1.396,1.9775546367395157e-05,0.06,21,,,,,,,,,
21,1.3771,1.9763733018310693e-05,0.06,22,,,,,,,,,
22,1.4723,1.975191966922623e-05,0.07,23,,,,,,,,,
23,1.3922,1.974010632014176e-05,0.07,24,,,,,,,,,
24,1.4223,1.9728292971057297e-05,0.07,25,,,,,,,,,
25,1.3441,1.971647962197283e-05,0.08,26,,,,,,,,,
26,1.293,1.9704666272888366e-05,0.08,27,,,,,,,,,
27,1.4228,1.96928529238039e-05,0.08,28,,,,,,,,,
28,1.3281,1.9681039574719434e-05,0.09,29,,,,,,,,,
29,1.3632,1.966922622563497e-05,0.09,30,,,,,,,,,
30,1.4557,1.9657412876550503e-05,0.09,31,,,,,,,,,
31,1.4329,1.964559952746604e-05,0.09,32,,,,,,,,,
32,1.4373,1.9633786178381574e-05,0.1,33,,,,,,,,,
33,1.4325,1.9621972829297107e-05,0.1,34,,,,,,,,,
34,1.41,1.9610159480212643e-05,0.1,35,,,,,,,,,
35,1.3994,1.9598346131128175e-05,0.11,36,,,,,,,,,
36,1.3749,1.958653278204371e-05,0.11,37,,,,,,,,,
37,1.3194,1.9574719432959247e-05,0.11,38,,,,,,,,,
38,1.3903,1.956290608387478e-05,0.11,39,,,,,,,,,
39,1.3709,1.9551092734790316e-05,0.12,40,,,,,,,,,
40,1.3508,1.9539279385705848e-05,0.12,41,,,,,,,,,
41,1.3543,1.9527466036621384e-05,0.12,42,,,,,,,,,
42,1.4037,1.951565268753692e-05,0.13,43,,,,,,,,,
43,1.3361,1.9503839338452453e-05,0.13,44,,,,,,,,,
44,1.3461,1.9492025989367985e-05,0.13,45,,,,,,,,,
45,1.2704,1.948021264028352e-05,0.14,46,,,,,,,,,
46,1.2458,1.9468399291199057e-05,0.14,47,,,,,,,,,
47,1.3986,1.9456585942114593e-05,0.14,48,,,,,,,,,
48,1.2541,1.9444772593030125e-05,0.14,49,,,,,,,,,
49,1.4111,1.9432959243945658e-05,0.15,50,,,,,,,,,
50,1.3307,1.9421145894861194e-05,0.15,51,,,,,,,,,
51,1.264,1.940933254577673e-05,0.15,52,,,,,,,,,
52,1.2833,1.9397519196692266e-05,0.16,53,,,,,,,,,
53,1.2442,1.9385705847607798e-05,0.16,54,,,,,,,,,
54,1.2724,1.937389249852333e-05,0.16,55,,,,,,,,,
55,1.2744,1.9362079149438867e-05,0.16,56,,,,,,,,,
56,1.2533,1.9350265800354402e-05,0.17,57,,,,,,,,,
57,1.1471,1.9338452451269935e-05,0.17,58,,,,,,,,,
58,1.2749,1.932663910218547e-05,0.17,59,,,,,,,,,
59,1.3009,1.9314825753101007e-05,0.18,60,,,,,,,,,
60,1.2606,1.9303012404016543e-05,0.18,61,,,,,,,,,
61,1.1648,1.9291199054932075e-05,0.18,62,,,,,,,,,
62,1.2234,1.9279385705847608e-05,0.19,63,,,,,,,,,
63,1.2347,1.9267572356763144e-05,0.19,64,,,,,,,,,
64,1.2329,1.925575900767868e-05,0.19,65,,,,,,,,,
65,1.2182,1.9243945658594212e-05,0.19,66,,,,,,,,,
66,1.113,1.9232132309509748e-05,0.2,67,,,,,,,,,
67,1.2643,1.922031896042528e-05,0.2,68,,,,,,,,,
68,1.171,1.9208505611340817e-05,0.2,69,,,,,,,,,
69,1.1477,1.9196692262256352e-05,0.21,70,,,,,,,,,
70,1.0946,1.9184878913171885e-05,0.21,71,,,,,,,,,
71,1.2602,1.917306556408742e-05,0.21,72,,,,,,,,,
72,1.1425,1.9161252215002953e-05,0.21,73,,,,,,,,,
73,1.1895,1.914943886591849e-05,0.22,74,,,,,,,,,
74,1.2822,1.9137625516834025e-05,0.22,75,,,,,,,,,
75,1.2167,1.9125812167749558e-05,0.22,76,,,,,,,,,
76,1.2128,1.9113998818665094e-05,0.23,77,,,,,,,,,
77,1.2202,1.9102185469580626e-05,0.23,78,,,,,,,,,
78,1.2855,1.9090372120496162e-05,0.23,79,,,,,,,,,
79,1.1555,1.9078558771411698e-05,0.24,80,,,,,,,,,
80,1.1879,1.906674542232723e-05,0.24,81,,,,,,,,,
81,1.1379,1.9054932073242766e-05,0.24,82,,,,,,,,,
82,1.0872,1.90431187241583e-05,0.24,83,,,,,,,,,
83,1.1183,1.9031305375073835e-05,0.25,84,,,,,,,,,
84,1.1894,1.901949202598937e-05,0.25,85,,,,,,,,,
85,1.1468,1.9007678676904903e-05,0.25,86,,,,,,,,,
86,1.2125,1.899586532782044e-05,0.26,87,,,,,,,,,
87,1.1246,1.8984051978735972e-05,0.26,88,,,,,,,,,
88,1.2004,1.8972238629651508e-05,0.26,89,,,,,,,,,
