,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.6172,0.0001,0.0,1,,,,,,,,,
1,2.5718,0.0002,0.01,2,,,,,,,,,
2,2.0578,0.00019988186650915534,0.01,3,,,,,,,,,
3,2.5593,0.0001997637330183107,0.01,4,,,,,,,,,
4,4.1243,0.00019964559952746603,0.01,5,,,,,,,,,
5,2.6048,0.0001995274660366214,0.02,6,,,,,,,,,
6,2.3686,0.00019940933254577675,0.02,7,,,,,,,,,
7,2.4983,0.00019929119905493208,0.02,8,,,,,,,,,
8,2.3345,0.00019917306556408744,0.03,9,,,,,,,,,
9,2.3358,0.00019905493207324277,0.03,10,,,,,,,,,
10,2.1297,0.0001989367985823981,0.03,11,,,,,,,,,
11,1.9368,0.00019881866509155347,0.04,12,,,,,,,,,
12,1.8381,0.0001987005316007088,0.04,13,,,,,,,,,
13,1.8356,0.00019858239810986416,0.04,14,,,,,,,,,
14,10.8261,0.0001984642646190195,0.04,15,,,,,,,,,
15,16.2176,0.00019834613112817485,0.05,16,,,,,,,,,
16,10.9439,0.0001982279976373302,0.05,17,,,,,,,,,
17,12.3812,0.00019810986414648554,0.05,18,,,,,,,,,
18,11.6142,0.0001979917306556409,0.06,19,,,,,,,,,
19,11.0345,0.00019787359716479623,0.06,20,,,,,,,,,
20,7.7376,0.00019775546367395156,0.06,21,,,,,,,,,
21,4.8577,0.00019763733018310692,0.06,22,,,,,,,,,
22,4.2127,0.00019751919669226225,0.07,23,,,,,,,,,
23,3.2235,0.0001974010632014176,0.07,24,,,,,,,,,
24,3.3366,0.00019728292971057297,0.07,25,,,,,,,,,
25,6.9179,0.0001971647962197283,0.08,26,,,,,,,,,
26,7.1127,0.00019704666272888366,0.08,27,,,,,,,,,
27,9.4378,0.000196928529238039,0.08,28,,,,,,,,,
28,9.0647,0.00019681039574719433,0.09,29,,,,,,,,,
29,7.5654,0.0001966922622563497,0.09,30,,,,,,,,,
30,9.5758,0.00019657412876550502,0.09,31,,,,,,,,,
31,7.0171,0.00019645599527466038,0.09,32,,,,,,,,,
32,6.7715,0.00019633786178381574,0.1,33,,,,,,,,,
33,6.5282,0.00019621972829297107,0.1,34,,,,,,,,,
34,6.422,0.00019610159480212643,0.1,35,,,,,,,,,
35,5.941,0.00019598346131128176,0.11,36,,,,,,,,,
36,6.0757,0.0001958653278204371,0.11,37,,,,,,,,,
37,5.6238,0.00019574719432959245,0.11,38,,,,,,,,,
38,5.6723,0.00019562906083874778,0.11,39,,,,,,,,,
39,5.4688,0.00019551092734790314,0.12,40,,,,,,,,,
40,4.8942,0.00019539279385705847,0.12,41,,,,,,,,,
41,4.1347,0.00019527466036621383,0.12,42,,,,,,,,,
42,3.5532,0.0001951565268753692,0.13,43,,,,,,,,,
43,27.4556,0.00019503839338452453,0.13,44,,,,,,,,,
44,2.9996,0.00019492025989367986,0.13,45,,,,,,,,,
45,2.7447,0.00019480212640283522,0.14,46,,,,,,,,,
46,2.3863,0.00019468399291199055,0.14,47,,,,,,,,,
47,2.2241,0.0001945658594211459,0.14,48,,,,,,,,,
48,2.167,0.00019444772593030124,0.14,49,,,,,,,,,
49,2.0702,0.0001943295924394566,0.15,50,,,,,,,,,
50,2.0466,0.00019421145894861196,0.15,51,,,,,,,,,
51,2.0534,0.0001940933254577673,0.15,52,,,,,,,,,
52,2.0288,0.00019397519196692265,0.16,53,,,,,,,,,
53,1.7554,0.00019385705847607798,0.16,54,,,,,,,,,
54,1.7941,0.0001937389249852333,0.16,55,,,,,,,,,
55,1.7753,0.00019362079149438867,0.16,56,,,,,,,,,
56,1.7497,0.000193502658003544,0.17,57,,,,,,,,,
57,1.6827,0.00019338452451269934,0.17,58,,,,,,,,,
58,1.8117,0.0001932663910218547,0.17,59,,,,,,,,,
59,1.6784,0.00019314825753101005,0.18,60,,,,,,,,,
60,1.7051,0.00019303012404016541,0.18,61,,,,,,,,,
61,1.6386,0.00019291199054932075,0.18,62,,,,,,,,,
62,1.7034,0.00019279385705847608,0.19,63,,,,,,,,,
63,1.6291,0.00019267572356763144,0.19,64,,,,,,,,,
64,1.7276,0.00019255759007678677,0.19,65,,,,,,,,,
65,1.7502,0.0001924394565859421,0.19,66,,,,,,,,,
66,1.7064,0.00019232132309509746,0.2,67,,,,,,,,,
67,1.5879,0.00019220318960425282,0.2,68,,,,,,,,,
68,1.617,0.00019208505611340818,0.2,69,,,,,,,,,
69,1.5625,0.0001919669226225635,0.21,70,,,,,,,,,
70,1.6431,0.00019184878913171884,0.21,71,,,,,,,,,
71,1.6772,0.0001917306556408742,0.21,72,,,,,,,,,
72,1.5874,0.00019161252215002953,0.21,73,,,,,,,,,
73,1.5894,0.0001914943886591849,0.22,74,,,,,,,,,
74,1.5227,0.00019137625516834023,0.22,75,,,,,,,,,
75,1.6626,0.00019125812167749558,0.22,76,,,,,,,,,
76,1.4565,0.00019113998818665094,0.23,77,,,,,,,,,
77,1.3821,0.00019102185469580628,0.23,78,,,,,,,,,
78,1.6778,0.0001909037212049616,0.23,79,,,,,,,,,
79,1.5617,0.00019078558771411697,0.24,80,,,,,,,,,
80,1.6062,0.0001906674542232723,0.24,81,,,,,,,,,
81,1.4872,0.00019054932073242766,0.24,82,,,,,,,,,
82,1.5231,0.000190431187241583,0.24,83,,,,,,,,,
83,1.5018,0.00019031305375073832,0.25,84,,,,,,,,,
84,1.4808,0.00019019492025989368,0.25,85,,,,,,,,,
85,1.5492,0.00019007678676904904,0.25,86,,,,,,,,,
86,1.5259,0.0001899586532782044,0.26,87,,,,,,,,,
87,1.5297,0.00018984051978735973,0.26,88,,,,,,,,,
88,1.6327,0.00018972238629651506,0.26,89,,,,,,,,,
89,1.5878,0.00018960425280567042,0.27,90,,,,,,,,,
90,1.4398,0.00018948611931482576,0.27,91,,,,,,,,,
91,1.4982,0.0001893679858239811,0.27,92,,,,,,,,,
92,1.5413,0.00018924985233313645,0.27,93,,,,,,,,,
93,1.5885,0.0001891317188422918,0.28,94,,,,,,,,,
94,1.4729,0.00018901358535144716,0.28,95,,,,,,,,,
95,1.4631,0.0001888954518606025,0.28,96,,,,,,,,,
96,1.5253,0.00018877731836975783,0.29,97,,,,,,,,,
97,1.4015,0.0001886591848789132,0.29,98,,,,,,,,,
98,1.3999,0.00018854105138806852,0.29,99,,,,,,,,,
99,1.4687,0.00018842291789722388,0.29,100,,,,,,,,,
100,1.3609,0.0001883047844063792,0.3,101,,,,,,,,,
101,1.322,0.00018818665091553457,0.3,102,,,,,,,,,
102,1.433,0.00018806851742468993,0.3,103,,,,,,,,,
103,1.475,0.00018795038393384526,0.31,104,,,,,,,,,
104,1.3763,0.0001878322504430006,0.31,105,,,,,,,,,
105,1.4567,0.00018771411695215595,0.31,106,,,,,,,,,
106,1.5061,0.00018759598346131128,0.32,107,,,,,,,,,
107,1.3075,0.00018747784997046664,0.32,108,,,,,,,,,
108,1.4832,0.00018735971647962198,0.32,109,,,,,,,,,
109,1.3004,0.0001872415829887773,0.32,110,,,,,,,,,
110,1.3953,0.00018712344949793267,0.33,111,,,,,,,,,
111,1.2742,0.00018700531600708803,0.33,112,,,,,,,,,
112,1.3857,0.00018688718251624336,0.33,113,,,,,,,,,
113,1.1876,0.00018676904902539872,0.34,114,,,,,,,,,
114,1.1809,0.00018665091553455405,0.34,115,,,,,,,,,
115,1.451,0.0001865327820437094,0.34,116,,,,,,,,,
116,1.2149,0.00018641464855286474,0.34,117,,,,,,,,,
117,1.4065,0.00018629651506202007,0.35,118,,,,,,,,,
118,1.3785,0.00018617838157117543,0.35,119,,,,,,,,,
119,1.1827,0.0001860602480803308,0.35,120,,,,,,,,,
120,1.2564,0.00018594211458948615,0.36,121,,,,,,,,,
121,1.2285,0.00018582398109864148,0.36,122,,,,,,,,,
122,1.3947,0.00018570584760779681,0.36,123,,,,,,,,,
123,1.3131,0.00018558771411695217,0.37,124,,,,,,,,,
124,1.4189,0.0001854695806261075,0.37,125,,,,,,,,,
125,1.2638,0.00018535144713526284,0.37,126,,,,,,,,,
126,1.367,0.0001852333136444182,0.37,127,,,,,,,,,
127,1.2489,0.00018511518015357353,0.38,128,,,,,,,,,
128,1.4563,0.0001849970466627289,0.38,129,,,,,,,,,
129,1.1758,0.00018487891317188425,0.38,130,,,,,,,,,
130,1.1194,0.00018476077968103958,0.39,131,,,,,,,,,
131,1.4035,0.00018464264619019494,0.39,132,,,,,,,,,
132,1.2265,0.00018452451269935027,0.39,133,,,,,,,,,
133,1.1823,0.00018440637920850563,0.39,134,,,,,,,,,
134,1.2814,0.00018428824571766096,0.4,135,,,,,,,,,
135,1.2019,0.0001841701122268163,0.4,136,,,,,,,,,
136,1.292,0.00018405197873597165,0.4,137,,,,,,,,,
137,1.33,0.000183933845245127,0.41,138,,,,,,,,,
138,1.1929,0.00018381571175428234,0.41,139,,,,,,,,,
139,1.3318,0.0001836975782634377,0.41,140,,,,,,,,,
140,1.3287,0.00018357944477259304,0.42,141,,,,,,,,,
141,1.2458,0.0001834613112817484,0.42,142,,,,,,,,,
142,1.226,0.00018334317779090373,0.42,143,,,,,,,,,
143,1.0077,0.00018322504430005906,0.42,144,,,,,,,,,
144,1.153,0.00018310691080921442,0.43,145,,,,,,,,,
145,1.2404,0.00018298877731836978,0.43,146,,,,,,,,,
146,1.1614,0.0001828706438275251,0.43,147,,,,,,,,,
147,1.1653,0.00018275251033668047,0.44,148,,,,,,,,,
148,1.0919,0.0001826343768458358,0.44,149,,,,,,,,,
149,1.0275,0.00018251624335499116,0.44,150,,,,,,,,,
150,1.123,0.0001823981098641465,0.44,151,,,,,,,,,
151,1.1584,0.00018227997637330182,0.45,152,,,,,,,,,
152,1.1348,0.00018216184288245718,0.45,153,,,,,,,,,
153,1.0395,0.00018204370939161251,0.45,154,,,,,,,,,
154,1.2663,0.00018192557590076787,0.46,155,,,,,,,,,
155,1.0988,0.00018180744240992323,0.46,156,,,,,,,,,
156,1.0144,0.00018168930891907857,0.46,157,,,,,,,,,
157,1.1056,0.00018157117542823392,0.47,158,,,,,,,,,
158,1.1619,0.00018145304193738926,0.47,159,,,,,,,,,
159,0.9845,0.0001813349084465446,0.47,160,,,,,,,,,
160,1.1552,0.00018121677495569995,0.47,161,,,,,,,,,
161,0.9862,0.00018109864146485528,0.48,162,,,,,,,,,
162,1.1863,0.00018098050797401064,0.48,163,,,,,,,,,
163,0.9966,0.000180862374483166,0.48,164,,,,,,,,,
164,1.1063,0.00018074424099232133,0.49,165,,,,,,,,,
165,1.0662,0.0001806261075014767,0.49,166,,,,,,,,,
166,1.0105,0.00018050797401063202,0.49,167,,,,,,,,,
167,0.9288,0.00018038984051978738,0.49,168,,,,,,,,,
168,1.0014,0.0001802717070289427,0.5,169,,,,,,,,,
169,1.0574,0.00018015357353809804,0.5,170,,,,,,,,,
170,1.1453,0.0001800354400472534,0.5,171,,,,,,,,,
171,0.9502,0.00017991730655640874,0.51,172,,,,,,,,,
172,0.9578,0.0001797991730655641,0.51,173,,,,,,,,,
173,1.1251,0.00017968103957471945,0.51,174,,,,,,,,,
174,1.1107,0.00017956290608387479,0.52,175,,,,,,,,,
175,1.0885,0.00017944477259303015,0.52,176,,,,,,,,,
176,0.9774,0.00017932663910218548,0.52,177,,,,,,,,,
177,0.9236,0.0001792085056113408,0.52,178,,,,,,,,,
178,0.9701,0.00017909037212049617,0.53,179,,,,,,,,,
179,0.9159,0.0001789722386296515,0.53,180,,,,,,,,,
180,1.172,0.00017885410513880686,0.53,181,,,,,,,,,
181,0.9048,0.00017873597164796222,0.54,182,,,,,,,,,
182,0.9931,0.00017861783815711755,0.54,183,,,,,,,,,
183,0.9294,0.0001784997046662729,0.54,184,,,,,,,,,
184,0.8744,0.00017838157117542824,0.54,185,,,,,,,,,
185,1.0072,0.00017826343768458357,0.55,186,,,,,,,,,
186,1.0405,0.00017814530419373893,0.55,187,,,,,,,,,
187,0.9458,0.00017802717070289427,0.55,188,,,,,,,,,
188,0.9828,0.00017790903721204962,0.56,189,,,,,,,,,
189,0.9828,0.00017779090372120498,0.56,190,,,,,,,,,
190,0.7959,0.00017767277023036032,0.56,191,,,,,,,,,
191,0.9345,0.00017755463673951567,0.57,192,,,,,,,,,
192,0.868,0.000177436503248671,0.57,193,,,,,,,,,
193,0.9619,0.00017731836975782634,0.57,194,,,,,,,,,
194,0.8624,0.0001772002362669817,0.57,195,,,,,,,,,
195,0.9665,0.00017708210277613703,0.58,196,,,,,,,,,
196,0.9788,0.0001769639692852924,0.58,197,,,,,,,,,
197,1.0305,0.00017684583579444772,0.58,198,,,,,,,,,
198,1.0447,0.00017672770230360308,0.59,199,,,,,,,,,
199,0.9168,0.00017660956881275844,0.59,200,,,,,,,,,
200,0.8933,0.00017649143532191377,0.59,201,,,,,,,,,
201,0.8279,0.00017637330183106913,0.59,202,,,,,,,,,
202,0.8785,0.00017625516834022446,0.6,203,,,,,,,,,
203,0.7344,0.0001761370348493798,0.6,204,,,,,,,,,
204,0.8873,0.00017601890135853515,0.6,205,,,,,,,,,
205,0.8871,0.00017590076786769049,0.61,206,,,,,,,,,
206,0.881,0.00017578263437684585,0.61,207,,,,,,,,,
207,0.8069,0.0001756645008860012,0.61,208,,,,,,,,,
208,0.7938,0.00017554636739515654,0.62,209,,,,,,,,,
209,0.8416,0.0001754282339043119,0.62,210,,,,,,,,,
210,0.8019,0.00017531010041346723,0.62,211,,,,,,,,,
211,0.8227,0.00017519196692262256,0.62,212,,,,,,,,,
212,0.9812,0.00017507383343177792,0.63,213,,,,,,,,,
213,1.0446,0.00017495569994093325,0.63,214,,,,,,,,,
214,0.7403,0.0001748375664500886,0.63,215,,,,,,,,,
215,0.7525,0.00017471943295924397,0.64,216,,,,,,,,,
216,0.8187,0.0001746012994683993,0.64,217,,,,,,,,,
217,0.82,0.00017448316597755466,0.64,218,,,,,,,,,
218,0.7941,0.00017436503248671,0.64,219,,,,,,,,,
219,0.7723,0.00017424689899586532,0.65,220,,,,,,,,,
220,0.6492,0.00017412876550502068,0.65,221,,,,,,,,,
221,0.7943,0.00017401063201417602,0.65,222,,,,,,,,,
222,0.7543,0.00017389249852333138,0.66,223,,,,,,,,,
223,0.9194,0.0001737743650324867,0.66,224,,,,,,,,,
224,0.8473,0.00017365623154164207,0.66,225,,,,,,,,,
225,0.8005,0.00017353809805079743,0.67,226,,,,,,,,,
226,0.8309,0.00017341996455995276,0.67,227,,,,,,,,,
227,0.8864,0.00017330183106910812,0.67,228,,,,,,,,,
228,0.9025,0.00017318369757826345,0.67,229,,,,,,,,,
229,0.7056,0.00017306556408741878,0.68,230,,,,,,,,,
230,0.9682,0.00017294743059657414,0.68,231,,,,,,,,,
231,0.5985,0.00017282929710572947,0.68,232,,,,,,,,,
232,0.8357,0.00017271116361488483,0.69,233,,,,,,,,,
233,0.5914,0.0001725930301240402,0.69,234,,,,,,,,,
234,0.763,0.00017247489663319552,0.69,235,,,,,,,,,
235,0.7383,0.00017235676314235088,0.7,236,,,,,,,,,
236,0.7724,0.00017223862965150621,0.7,237,,,,,,,,,
237,0.6682,0.00017212049616066155,0.7,238,,,,,,,,,
238,0.7069,0.0001720023626698169,0.7,239,,,,,,,,,
239,0.6986,0.00017188422917897224,0.71,240,,,,,,,,,
240,0.7578,0.00017176609568812757,0.71,241,,,,,,,,,
241,0.9266,0.00017164796219728293,0.71,242,,,,,,,,,
242,0.6852,0.0001715298287064383,0.72,243,,,,,,,,,
243,0.7019,0.00017141169521559365,0.72,244,,,,,,,,,
244,0.6401,0.00017129356172474898,0.72,245,,,,,,,,,
245,0.6415,0.0001711754282339043,0.72,246,,,,,,,,,
246,0.5734,0.00017105729474305967,0.73,247,,,,,,,,,
247,0.6621,0.000170939161252215,0.73,248,,,,,,,,,
248,0.6648,0.00017082102776137036,0.73,249,,,,,,,,,
249,0.6139,0.0001707028942705257,0.74,250,,,,,,,,,
250,0.6989,0.00017058476077968105,0.74,251,,,,,,,,,
251,0.6093,0.0001704666272888364,0.74,252,,,,,,,,,
252,0.6533,0.00017034849379799174,0.75,253,,,,,,,,,
253,0.6926,0.00017023036030714708,0.75,254,,,,,,,,,
254,0.6818,0.00017011222681630243,0.75,255,,,,,,,,,
255,0.6549,0.00016999409332545777,0.75,256,,,,,,,,,
256,0.7341,0.00016987595983461313,0.76,257,,,,,,,,,
257,0.6159,0.00016975782634376846,0.76,258,,,,,,,,,
258,0.8659,0.00016963969285292382,0.76,259,,,,,,,,,
259,0.6474,0.00016952155936207918,0.77,260,,,,,,,,,
260,0.7642,0.0001694034258712345,0.77,261,,,,,,,,,
261,0.597,0.00016928529238038987,0.77,262,,,,,,,,,
262,0.5499,0.0001691671588895452,0.77,263,,,,,,,,,
263,0.5342,0.00016904902539870053,0.78,264,,,,,,,,,
264,0.5721,0.0001689308919078559,0.78,265,,,,,,,,,
265,0.6462,0.00016881275841701122,0.78,266,,,,,,,,,
266,0.6255,0.00016869462492616655,0.79,267,,,,,,,,,
267,0.6987,0.00016857649143532191,0.79,268,,,,,,,,,
268,0.5597,0.00016845835794447727,0.79,269,,,,,,,,,
269,0.6904,0.00016834022445363263,0.8,270,,,,,,,,,
270,0.6418,0.00016822209096278796,0.8,271,,,,,,,,,
271,0.6299,0.0001681039574719433,0.8,272,,,,,,,,,
272,0.594,0.00016798582398109866,0.8,273,,,,,,,,,
273,0.6553,0.000167867690490254,0.81,274,,,,,,,,,
274,0.7876,0.00016774955699940932,0.81,275,,,,,,,,,
275,0.5804,0.00016763142350856468,0.81,276,,,,,,,,,
276,0.6519,0.00016751329001772004,0.82,277,,,,,,,,,
277,0.6698,0.0001673951565268754,0.82,278,,,,,,,,,
278,0.6256,0.00016727702303603073,0.82,279,,,,,,,,,
279,0.5878,0.00016715888954518606,0.82,280,,,,,,,,,
280,0.5442,0.00016704075605434142,0.83,281,,,,,,,,,
281,0.5792,0.00016692262256349675,0.83,282,,,,,,,,,
282,0.7389,0.0001668044890726521,0.83,283,,,,,,,,,
283,0.6285,0.00016668635558180744,0.84,284,,,,,,,,,
284,0.4139,0.00016656822209096278,0.84,285,,,,,,,,,
285,0.585,0.00016645008860011813,0.84,286,,,,,,,,,
286,0.5834,0.0001663319551092735,0.85,287,,,,,,,,,
287,0.4939,0.00016621382161842883,0.85,288,,,,,,,,,
288,0.6294,0.00016609568812758419,0.85,289,,,,,,,,,
289,0.6135,0.00016597755463673952,0.85,290,,,,,,,,,
290,0.6421,0.00016585942114589488,0.86,291,,,,,,,,,
291,0.5098,0.0001657412876550502,0.86,292,,,,,,,,,
292,0.4421,0.00016562315416420554,0.86,293,,,,,,,,,
293,0.5009,0.0001655050206733609,0.87,294,,,,,,,,,
294,0.538,0.00016538688718251626,0.87,295,,,,,,,,,
295,0.6308,0.00016526875369167162,0.87,296,,,,,,,,,
296,0.4607,0.00016515062020082695,0.87,297,,,,,,,,,
297,0.5282,0.00016503248670998228,0.88,298,,,,,,,,,
298,0.6702,0.00016491435321913764,0.88,299,,,,,,,,,
299,0.589,0.00016479621972829297,0.88,300,,,,,,,,,
300,0.5445,0.0001646780862374483,0.89,301,,,,,,,,,
301,0.4831,0.00016455995274660366,0.89,302,,,,,,,,,
302,0.5654,0.00016444181925575902,0.89,303,,,,,,,,,
303,0.4569,0.00016432368576491438,0.9,304,,,,,,,,,
304,0.4677,0.00016420555227406971,0.9,305,,,,,,,,,
305,0.4418,0.00016408741878322505,0.9,306,,,,,,,,,
306,0.4979,0.0001639692852923804,0.9,307,,,,,,,,,
307,0.3799,0.00016385115180153574,0.91,308,,,,,,,,,
308,0.6955,0.0001637330183106911,0.91,309,,,,,,,,,
309,0.4498,0.00016361488481984643,0.91,310,,,,,,,,,
310,0.614,0.00016349675132900176,0.92,311,,,,,,,,,
311,0.4464,0.00016337861783815712,0.92,312,,,,,,,,,
