,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.8289,0.0001,0.01,1,,,,,,,,,
1,2.8424,0.0002,0.03,2,,,,,,,,,
2,2.2485,0.0001994638069705094,0.04,3,,,,,,,,,
3,2.3097,0.00019892761394101877,0.05,4,,,,,,,,,
4,2.6898,0.00019839142091152817,0.07,5,,,,,,,,,
5,2.5355,0.00019785522788203755,0.08,6,,,,,,,,,
6,2.8753,0.00019731903485254693,0.09,7,,,,,,,,,
7,2.4777,0.0001967828418230563,0.11,8,,,,,,,,,
8,5.2615,0.00019624664879356568,0.12,9,,,,,,,,,
9,2.628,0.00019571045576407506,0.13,10,,,,,,,,,
10,2.1884,0.00019517426273458447,0.14,11,,,,,,,,,
11,2.0962,0.00019463806970509384,0.16,12,,,,,,,,,
12,1.9252,0.00019410187667560322,0.17,13,,,,,,,,,
13,1.9226,0.0001935656836461126,0.18,14,,,,,,,,,
14,1.859,0.00019302949061662198,0.2,15,,,,,,,,,
15,1.8319,0.00019249329758713138,0.21,16,,,,,,,,,
16,1.9267,0.00019195710455764076,0.22,17,,,,,,,,,
17,1.761,0.00019142091152815014,0.24,18,,,,,,,,,
18,1.6598,0.00019088471849865952,0.25,19,,,,,,,,,
19,1.6648,0.0001903485254691689,0.26,20,,,,,,,,,
20,1.6104,0.00018981233243967828,0.28,21,,,,,,,,,
21,1.6012,0.00018927613941018768,0.29,22,,,,,,,,,
22,1.5386,0.00018873994638069706,0.3,23,,,,,,,,,
23,1.5809,0.00018820375335120644,0.32,24,,,,,,,,,
24,1.4881,0.00018766756032171581,0.33,25,,,,,,,,,
25,1.4124,0.0001871313672922252,0.34,26,,,,,,,,,
26,1.4244,0.00018659517426273457,0.36,27,,,,,,,,,
27,1.3634,0.00018605898123324398,0.37,28,,,,,,,,,
28,1.3572,0.00018552278820375335,0.38,29,,,,,,,,,
29,1.364,0.00018498659517426273,0.4,30,,,,,,,,,
30,1.2492,0.0001844504021447721,0.41,31,,,,,,,,,
31,1.2134,0.0001839142091152815,0.42,32,,,,,,,,,
32,1.2187,0.0001833780160857909,0.43,33,,,,,,,,,
33,1.1754,0.0001828418230563003,0.45,34,,,,,,,,,
34,1.1897,0.00018230563002680968,0.46,35,,,,,,,,,
35,1.182,0.00018176943699731906,0.47,36,,,,,,,,,
36,1.1127,0.00018123324396782843,0.49,37,,,,,,,,,
37,1.0392,0.0001806970509383378,0.5,38,,,,,,,,,
38,0.9291,0.0001801608579088472,0.51,39,,,,,,,,,
39,0.9475,0.0001796246648793566,0.53,40,,,,,,,,,
40,0.9148,0.00017908847184986597,0.54,41,,,,,,,,,
41,0.9534,0.00017855227882037535,0.55,42,,,,,,,,,
42,0.8864,0.00017801608579088473,0.57,43,,,,,,,,,
43,0.8234,0.0001774798927613941,0.58,44,,,,,,,,,
44,0.8168,0.0001769436997319035,0.59,45,,,,,,,,,
45,0.7489,0.0001764075067024129,0.61,46,,,,,,,,,
46,0.7095,0.00017587131367292227,0.62,47,,,,,,,,,
47,0.6709,0.00017533512064343165,0.63,48,,,,,,,,,
48,0.6644,0.00017479892761394103,0.65,49,,,,,,,,,
49,0.6194,0.0001742627345844504,0.66,50,,,,,,,,,
50,0.5539,0.0001737265415549598,0.67,51,,,,,,,,,
51,0.6011,0.0001731903485254692,0.69,52,,,,,,,,,
52,0.5831,0.00017265415549597856,0.7,53,,,,,,,,,
53,0.5105,0.00017211796246648794,0.71,54,,,,,,,,,
54,0.527,0.00017158176943699732,0.72,55,,,,,,,,,
55,0.483,0.00017104557640750673,0.74,56,,,,,,,,,
56,0.4493,0.0001705093833780161,0.75,57,,,,,,,,,
57,0.4482,0.00016997319034852548,0.76,58,,,,,,,,,
58,0.4352,0.00016943699731903486,0.78,59,,,,,,,,,
59,0.4277,0.00016890080428954424,0.79,60,,,,,,,,,
60,0.413,0.00016836461126005362,0.8,61,,,,,,,,,
61,0.412,0.00016782841823056302,0.82,62,,,,,,,,,
62,0.401,0.0001672922252010724,0.83,63,,,,,,,,,
63,0.3848,0.00016675603217158178,0.84,64,,,,,,,,,
