,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,3.2979,0.0001,0.0,1,,,,,,,,,
1,3.2627,0.0002,0.01,2,,,,,,,,,
2,3.7041,0.00019986781229345673,0.01,3,,,,,,,,,
3,5.5771,0.00019973562458691342,0.01,4,,,,,,,,,
4,4.9345,0.00019960343688037014,0.02,5,,,,,,,,,
5,7.1354,0.00019947124917382684,0.02,6,,,,,,,,,
6,7.679,0.00019933906146728356,0.02,7,,,,,,,,,
7,7.0257,0.00019920687376074025,0.03,8,,,,,,,,,
8,7.2321,0.00019907468605419697,0.03,9,,,,,,,,,
9,6.3596,0.0001989424983476537,0.03,10,,,,,,,,,
10,6.208,0.00019881031064111038,0.04,11,,,,,,,,,
11,6.3649,0.00019867812293456708,0.04,12,,,,,,,,,
12,5.8365,0.0001985459352280238,0.04,13,,,,,,,,,
13,5.905,0.00019841374752148052,0.05,14,,,,,,,,,
14,5.8971,0.0001982815598149372,0.05,15,,,,,,,,,
15,5.912,0.00019814937210839393,0.05,16,,,,,,,,,
16,5.2924,0.00019801718440185065,0.06,17,,,,,,,,,
17,5.4455,0.00019788499669530735,0.06,18,,,,,,,,,
18,5.0896,0.00019775280898876404,0.06,19,,,,,,,,,
19,4.9766,0.00019762062128222076,0.07,20,,,,,,,,,
20,4.9727,0.00019748843357567748,0.07,21,,,,,,,,,
21,4.7003,0.00019735624586913417,0.07,22,,,,,,,,,
22,4.6581,0.0001972240581625909,0.08,23,,,,,,,,,
23,4.5293,0.0001970918704560476,0.08,24,,,,,,,,,
24,4.4646,0.0001969596827495043,0.08,25,,,,,,,,,
25,4.3031,0.000196827495042961,0.09,26,,,,,,,,,
26,3.8557,0.00019669530733641772,0.09,27,,,,,,,,,
27,4.0588,0.00019656311962987444,0.09,28,,,,,,,,,
28,3.9725,0.00019643093192333114,0.1,29,,,,,,,,,
29,3.813,0.00019629874421678786,0.1,30,,,,,,,,,
30,3.8594,0.00019616655651024455,0.1,31,,,,,,,,,
31,3.6717,0.00019603436880370127,0.11,32,,,,,,,,,
32,3.6043,0.00019590218109715796,0.11,33,,,,,,,,,
33,3.5502,0.00019576999339061468,0.11,34,,,,,,,,,
34,3.4656,0.0001956378056840714,0.12,35,,,,,,,,,
35,3.3504,0.0001955056179775281,0.12,36,,,,,,,,,
36,3.1987,0.0001953734302709848,0.12,37,,,,,,,,,
37,3.2019,0.0001952412425644415,0.13,38,,,,,,,,,
38,3.3567,0.00019510905485789823,0.13,39,,,,,,,,,
39,3.0282,0.00019497686715135492,0.13,40,,,,,,,,,
40,2.8849,0.00019484467944481164,0.14,41,,,,,,,,,
41,2.8732,0.00019471249173826837,0.14,42,,,,,,,,,
42,2.7756,0.00019458030403172506,0.14,43,,,,,,,,,
43,2.9183,0.00019444811632518175,0.14,44,,,,,,,,,
44,2.74,0.00019431592861863847,0.15,45,,,,,,,,,
45,2.8101,0.0001941837409120952,0.15,46,,,,,,,,,
46,2.6787,0.00019405155320555189,0.15,47,,,,,,,,,
47,2.6134,0.0001939193654990086,0.16,48,,,,,,,,,
48,2.7748,0.0001937871777924653,0.16,49,,,,,,,,,
49,2.4697,0.00019365499008592202,0.16,50,,,,,,,,,
50,2.6168,0.00019352280237937871,0.17,51,,,,,,,,,
51,2.5943,0.00019339061467283543,0.17,52,,,,,,,,,
52,2.5921,0.00019325842696629215,0.17,53,,,,,,,,,
53,2.4155,0.00019312623925974885,0.18,54,,,,,,,,,
54,2.3919,0.00019299405155320557,0.18,55,,,,,,,,,
55,2.4172,0.00019286186384666226,0.18,56,,,,,,,,,
56,2.5467,0.00019272967614011898,0.19,57,,,,,,,,,
57,2.3964,0.00019259748843357568,0.19,58,,,,,,,,,
58,2.4411,0.0001924653007270324,0.19,59,,,,,,,,,
59,2.3334,0.00019233311302048912,0.2,60,,,,,,,,,
60,2.3896,0.00019220092531394584,0.2,61,,,,,,,,,
61,2.6045,0.0001920687376074025,0.2,62,,,,,,,,,
62,2.4354,0.00019193654990085922,0.21,63,,,,,,,,,
63,2.4703,0.00019180436219431594,0.21,64,,,,,,,,,
64,2.2999,0.00019167217448777264,0.21,65,,,,,,,,,
65,2.2538,0.00019153998678122936,0.22,66,,,,,,,,,
66,2.4142,0.00019140779907468608,0.22,67,,,,,,,,,
67,2.3319,0.00019127561136814277,0.22,68,,,,,,,,,
